Day,Population,Susceptible,Infectious,Recovered,Vaccinated
1,Deggendorf,3596,4,0,400
1,Regensburg,10497,3,0,4500
2,Deggendorf,3592,8,0,400
2,Regensburg,10494,6,0,4500
3,Deggendorf,3586,12,2,400
3,Regensburg,10492,6,2,4500
4,Deggendorf,3576,20,4,400
4,Regensburg,10488,8,4,4500
5,Deggendorf,3559,33,8,400
5,Regensburg,10483,11,6,4500
6,Deggendorf,3541,45,14,400
6,Regensburg,10476,16,8,4500
7,Deggendorf,3510,66,24,400
7,Regensburg,10465,23,12,4500
8,Deggendorf,3467,92,41,400
8,Regensburg,10455,28,17,4500
9,Deggendorf,3403,138,59,400
9,Regensburg,10439,36,25,4500
10,Deggendorf,3311,198,91,400
10,Regensburg,10420,45,35,4500
11,Deggendorf,3196,271,133,400
11,Regensburg,10402,50,48,4500
12,Deggendorf,3029,374,197,400
12,Regensburg,10368,71,61,4500
13,Deggendorf,2814,496,290,400
13,Regensburg,10339,81,80,4500
14,Deggendorf,2582,614,404,400
14,Regensburg,10277,119,104,4500
15,Deggendorf,2305,723,572,400
15,Regensburg,10230,138,132,4500
16,Deggendorf,1997,817,786,400
16,Regensburg,10125,200,175,4500
17,Deggendorf,1699,883,1018,400
17,Regensburg,10019,258,223,4500
18,Deggendorf,1452,853,1295,400
18,Regensburg,9893,313,294,4500
19,Deggendorf,1237,758,1605,400
19,Regensburg,9706,419,375,4500
20,Deggendorf,1081,617,1902,400
20,Regensburg,9531,488,481,4500
21,Deggendorf,971,481,2148,400
21,Regensburg,9258,605,637,4500
22,Deggendorf,886,350,2364,400
22,Regensburg,8954,752,794,4500
23,Deggendorf,833,248,2519,400
23,Regensburg,8618,891,991,4500
24,Deggendorf,786,185,2629,400
24,Regensburg,8272,968,1260,4500
25,Deggendorf,753,133,2714,400
25,Regensburg,7874,1072,1554,4500
26,Deggendorf,726,107,2767,400
26,Regensburg,7439,1173,1888,4500
27,Deggendorf,709,76,2815,400
27,Regensburg,7024,1248,2228,4500
28,Deggendorf,697,53,2850,400
28,Regensburg,6597,1277,2626,4500
29,Deggendorf,691,31,2878,400
29,Regensburg,6186,1253,3061,4500
30,Deggendorf,688,20,2892,400
30,Regensburg,5814,1210,3476,4500
31,Deggendorf,682,15,2903,400
31,Regensburg,5489,1107,3904,4500
32,Deggendorf,679,12,2909,400
32,Regensburg,5199,985,4316,4500
33,Deggendorf,672,13,2915,400
33,Regensburg,4974,840,4686,4500
34,Deggendorf,671,10,2919,400
34,Regensburg,4743,746,5011,4500
35,Deggendorf,668,8,2924,400
35,Regensburg,4546,653,5301,4500
36,Deggendorf,667,5,2928,400
36,Regensburg,4401,573,5526,4500
37,Deggendorf,664,7,2929,400
37,Regensburg,4295,448,5757,4500
38,Deggendorf,663,4,2933,400
38,Regensburg,4207,339,5954,4500
39,Deggendorf,661,3,2936,400
39,Regensburg,4137,264,6099,4500
40,Deggendorf,661,3,2936,400
40,Regensburg,4086,209,6205,4500
41,Deggendorf,661,0,2939,400
41,Regensburg,4031,176,6293,4500
42,Deggendorf,661,0,2939,400
42,Regensburg,4001,136,6363,4500
43,Deggendorf,661,0,2939,400
43,Regensburg,3972,114,6414,4500
44,Deggendorf,661,0,2939,400
44,Regensburg,3953,78,6469,4500
45,Deggendorf,661,0,2939,400
45,Regensburg,3935,66,6499,4500
46,Deggendorf,661,0,2939,400
46,Regensburg,3927,45,6528,4500
47,Deggendorf,661,0,2939,400
47,Regensburg,3920,33,6547,4500
48,Deggendorf,661,0,2939,400
48,Regensburg,3913,22,6565,4500
49,Deggendorf,661,0,2939,400
49,Regensburg,3907,20,6573,4500
50,Deggendorf,661,0,2939,400
50,Regensburg,3898,22,6580,4500
51,Deggendorf,661,0,2939,400
51,Regensburg,3896,17,6587,4500
52,Deggendorf,661,0,2939,400
52,Regensburg,3891,16,6593,4500
53,Deggendorf,661,0,2939,400
53,Regensburg,3886,12,6602,4500
54,Deggendorf,661,0,2939,400
54,Regensburg,3881,15,6604,4500
55,Deggendorf,661,0,2939,400
55,Regensburg,3875,16,6609,4500
56,Deggendorf,661,0,2939,400
56,Regensburg,3871,15,6614,4500
57,Deggendorf,661,0,2939,400
57,Regensburg,3870,11,6619,4500
58,Deggendorf,661,0,2939,400
58,Regensburg,3869,6,6625,4500
59,Deggendorf,661,0,2939,400
59,Regensburg,3865,6,6629,4500
60,Deggendorf,661,0,2939,400
60,Regensburg,3863,7,6630,4500
61,Deggendorf,661,0,2939,400
61,Regensburg,3861,8,6631,4500
62,Deggendorf,661,0,2939,400
62,Regensburg,3859,6,6635,4500
63,Deggendorf,661,0,2939,400
63,Regensburg,3858,5,6637,4500
64,Deggendorf,661,0,2939,400
64,Regensburg,3856,5,6639,4500
65,Deggendorf,661,0,2939,400
65,Regensburg,3854,5,6641,4500
66,Deggendorf,661,0,2939,400
66,Regensburg,3854,4,6642,4500
67,Deggendorf,661,0,2939,400
67,Regensburg,3852,4,6644,4500
68,Deggendorf,661,0,2939,400
68,Regensburg,3852,2,6646,4500
69,Deggendorf,661,0,2939,400
69,Regensburg,3852,2,6646,4500
70,Deggendorf,661,0,2939,400
70,Regensburg,3852,0,6648,4500
