Day,Population,Susceptible,Infectious,Recovered,Vaccinated
1,SinglePopulation,13498,2,0,1500
2,SinglePopulation,13497,3,0,1500
3,SinglePopulation,13494,3,3,1500
4,SinglePopulation,13492,3,5,1500
5,SinglePopulation,13490,3,7,1500
6,SinglePopulation,13487,4,9,1500
7,SinglePopulation,13483,5,12,1500
8,SinglePopulation,13480,4,16,1500
9,SinglePopulation,13476,5,19,1500
10,SinglePopulation,13472,5,23,1500
11,SinglePopulation,13468,5,27,1500
12,SinglePopulation,13463,6,31,1500
13,SinglePopulation,13457,7,36,1500
14,SinglePopulation,13450,8,42,1500
15,SinglePopulation,13442,9,49,1500
16,SinglePopulation,13434,9,57,1500
17,SinglePopulation,13425,10,65,1500
18,SinglePopulation,13415,11,74,1500
19,SinglePopulation,13404,12,84,1500
20,SinglePopulation,13393,12,95,1500
21,SinglePopulation,13381,13,106,1500
22,SinglePopulation,13371,11,118,1500
23,SinglePopulation,13362,10,128,1500
24,SinglePopulation,13354,9,137,1500
25,SinglePopulation,13346,8,146,1500
26,SinglePopulation,13338,9,153,1500
27,SinglePopulation,13329,10,161,1500
28,SinglePopulation,13320,10,170,1500
29,SinglePopulation,13311,10,179,1500
30,SinglePopulation,13302,10,188,1500
31,SinglePopulation,13293,10,197,1500
32,SinglePopulation,13284,10,206,1500
33,SinglePopulation,13274,11,215,1500
34,SinglePopulation,13263,12,225,1500
35,SinglePopulation,13251,13,236,1500
36,SinglePopulation,13240,12,248,1500
37,SinglePopulation,13229,12,259,1500
38,SinglePopulation,13219,11,270,1500
39,SinglePopulation,13211,9,280,1500
40,SinglePopulation,13202,10,288,1500
41,SinglePopulation,13194,9,297,1500
42,SinglePopulation,13187,8,305,1500
43,SinglePopulation,13180,7,313,1500
44,SinglePopulation,13174,7,319,1500
45,SinglePopulation,13168,7,325,1500
46,SinglePopulation,13162,6,332,1500
47,SinglePopulation,13156,7,337,1500
48,SinglePopulation,13149,8,343,1500
49,SinglePopulation,13142,8,350,1500
50,SinglePopulation,13135,8,357,1500
51,SinglePopulation,13128,8,364,1500
52,SinglePopulation,13121,8,371,1500
53,SinglePopulation,13113,9,378,1500
54,SinglePopulation,13107,7,386,1500
55,SinglePopulation,13100,8,392,1500
56,SinglePopulation,13095,6,399,1500
57,SinglePopulation,13090,6,404,1500
58,SinglePopulation,13085,6,409,1500
59,SinglePopulation,13080,6,414,1500
60,SinglePopulation,13075,5,420,1500
61,SinglePopulation,13072,3,425,1500
62,SinglePopulation,13070,2,428,1500
63,SinglePopulation,13069,2,429,1500
64,SinglePopulation,13068,1,431,1500
65,SinglePopulation,13067,2,431,1500
66,SinglePopulation,13065,3,432,1500
67,SinglePopulation,13062,4,434,1500
68,SinglePopulation,13058,5,437,1500
69,SinglePopulation,13054,5,441,1500
70,SinglePopulation,13049,6,445,1500
71,SinglePopulation,13043,7,450,1500
72,SinglePopulation,13037,7,456,1500
73,SinglePopulation,13033,4,463,1500
74,SinglePopulation,13029,5,466,1500
75,SinglePopulation,13024,6,470,1500
76,SinglePopulation,13020,5,475,1500
77,SinglePopulation,13017,4,479,1500
78,SinglePopulation,13013,5,482,1500
79,SinglePopulation,13009,5,486,1500
80,SinglePopulation,13005,5,490,1500
81,SinglePopulation,13001,5,494,1500
82,SinglePopulation,12996,5,499,1500
83,SinglePopulation,12991,6,503,1500
84,SinglePopulation,12986,6,508,1500
85,SinglePopulation,12981,6,513,1500
86,SinglePopulation,12975,7,518,1500
87,SinglePopulation,12970,6,524,1500
88,SinglePopulation,12965,5,530,1500
89,SinglePopulation,12962,4,534,1500
90,SinglePopulation,12959,3,538,1500
91,SinglePopulation,12957,2,541,1500
92,SinglePopulation,12955,3,542,1500
93,SinglePopulation,12953,3,544,1500
94,SinglePopulation,12950,4,546,1500
95,SinglePopulation,12948,3,549,1500
96,SinglePopulation,12946,3,551,1500
97,SinglePopulation,12943,4,553,1500
98,SinglePopulation,12939,5,556,1500
99,SinglePopulation,12935,5,560,1500
100,SinglePopulation,12930,6,564,1500
101,SinglePopulation,12925,6,569,1500
102,SinglePopulation,12919,6,575,1500
103,SinglePopulation,12913,7,580,1500
104,SinglePopulation,12907,7,586,1500
105,SinglePopulation,12901,7,592,1500
106,SinglePopulation,12894,7,599,1500
107,SinglePopulation,12889,6,605,1500
108,SinglePopulation,12884,6,610,1500
109,SinglePopulation,12878,7,615,1500
110,SinglePopulation,12873,6,621,1500
111,SinglePopulation,12867,7,626,1500
112,SinglePopulation,12861,7,632,1500
113,SinglePopulation,12856,6,638,1500
114,SinglePopulation,12850,7,643,1500
115,SinglePopulation,12843,8,649,1500
116,SinglePopulation,12835,9,656,1500
117,SinglePopulation,12827,9,664,1500
118,SinglePopulation,12819,9,672,1500
119,SinglePopulation,12810,10,680,1500
120,SinglePopulation,12800,11,689,1500
121,SinglePopulation,12791,10,699,1500
122,SinglePopulation,12785,7,708,1500
123,SinglePopulation,12779,7,714,1500
124,SinglePopulation,12774,6,720,1500
125,SinglePopulation,12768,7,725,1500
126,SinglePopulation,12762,7,731,1500
127,SinglePopulation,12755,8,737,1500
128,SinglePopulation,12748,8,744,1500
129,SinglePopulation,12741,8,751,1500
130,SinglePopulation,12734,7,759,1500
131,SinglePopulation,12728,7,765,1500
132,SinglePopulation,12721,7,772,1500
133,SinglePopulation,12715,7,778,1500
134,SinglePopulation,12709,7,784,1500
135,SinglePopulation,12703,7,790,1500
136,SinglePopulation,12696,8,796,1500
137,SinglePopulation,12690,7,803,1500
138,SinglePopulation,12685,6,809,1500
139,SinglePopulation,12680,6,814,1500
140,SinglePopulation,12675,6,819,1500
141,SinglePopulation,12669,7,824,1500
142,SinglePopulation,12664,6,830,1500
143,SinglePopulation,12658,7,835,1500
144,SinglePopulation,12652,7,841,1500
145,SinglePopulation,12646,7,847,1500
146,SinglePopulation,12641,6,853,1500
147,SinglePopulation,12636,5,859,1500
148,SinglePopulation,12631,5,864,1500
149,SinglePopulation,12627,5,868,1500
150,SinglePopulation,12622,5,873,1500
151,SinglePopulation,12617,6,877,1500
152,SinglePopulation,12612,6,882,1500
153,SinglePopulation,12608,4,888,1500
154,SinglePopulation,12604,5,891,1500
155,SinglePopulation,12599,6,895,1500
156,SinglePopulation,12594,6,900,1500
157,SinglePopulation,12590,5,905,1500
158,SinglePopulation,12586,5,909,1500
159,SinglePopulation,12583,3,914,1500
160,SinglePopulation,12581,3,916,1500
